Contract;Side;Volume;Price
RT Oct Future;B;10;957.97
JF May Future;S;-2;647.85
JF Jun Future;B;4;538.38
JF U14;S;-6;760.85
QAL P67;B;10;148.73
JF N14;S;-10;909.79
RT X43;B;4;105.43
RT Apr Future;S;-3;991.6
QAL R62;B;8;111.99
JF A24;S;-8;822.57
JF Feb Future;B;1;699.61
RT D22;S;-6;660.77
RT Q58;S;-3;93.73
JF Feb Future;B;1;921.75
RT H69;B;2;702.08
QAL X21;B;5;453.55
QAL A9;S;-3;382.58
JF O23;B;7;958.7
QAL U27;S;-6;390.59
JF H44;S;-1;212.11
RT Oct Future;B;4;355.71
JF Feb Future;B;7;284.89
QAL V6;B;7;933.4
JF M26;B;7;574.12
QAL R86;B;10;606.58
JF M71;S;0;651.21
RT Oct Future;S;-10;630.32
RT Dec Future;B;8;933.6
RT Jun Future;B;8;508.56
RT K6;B;1;674.51
RT X14;S;-2;409.53
JF Feb Future;S;-7;489.39
QAL T27;S;-3;958.9
JF V41;B;7;146.66
JF G20;S;-9;449.66
QAL W38;S;-10;471.74
RT O59;B;4;930.39
QAL R100;B;0;459.76
RT Q97;B;5;348.57
RT O85;B;7;929.01
QAL O24;S;-4;489.42
QAL U89;B;4;676.82
QAL Jun Future;S;-7;422.38
JF D28;B;6;516.88
RT Mar Future;B;3;407.92
JF M74;S;-5;902.41
RT F44;B;5;955.39
QAL Oct Future;S;-2;884.28
QAL H0;S;-2;719.25
QAL L65;B;4;739.78
JF Jan Future;S;-2;600.92
JF R45;S;-4;149.15
